,name,title_clean,revenues_clean,gross_profit
1913,Jimmy Hayward,Horton Hears a Who!,297100000.0,63550000.0
2378,Jimmy Hayward,Jonah Hex,10900000.0,-41550000.0
3020,Jimmy Hayward,Free Birds,110400000.0,200000.0
1464,Jonathan Dayton,Little Miss Sunshine,100500000.0,42250000.0
59,Gus Van Sant,Finding Forrester,80049764.0,-2975118.0
693,Gus Van Sant,Elephant,10000000.0,2000000.0
694,Gus Van Sant,Elephant,10000000.0,2000000.0
1760,Gus Van Sant,Paranoid Park,4500000.0,-750000.0
1947,Gus Van Sant,Milk,54600000.0,7300000.0
2661,Gus Van Sant,Restless,163265.0,-7918367.5
1232,Gary David Goldberg,Must Love Dogs,58405313.0,-797343.5
2841,Stephen Saint Leger,Lockout,32200000.0,-3900000.0
257,JeanJacques Annaud,Enemy at the Gates,97000000.0,-19500000.0
55,Brett Ratner,The Family Man,124700000.0,2350000.0
367,Brett Ratner,Rush Hour 2,347300000.0,83650000.0
368,Brett Ratner,Rush Hour 2,347300000.0,83650000.0
369,Brett Ratner,Rush Hour,244400000.0,89200000.0
557,Brett Ratner,Red Dragon,209100000.0,26550000.0
843,Brett Ratner,After the Sunset,61347797.0,-28326101.5
1589,Brett Ratner,X-Men: The Last Stand,459400000.0,19700000.0
1590,Brett Ratner,X-Men: The Last Stand,459400000.0,19700000.0
1782,Brett Ratner,Rush Hour 3,258000000.0,-11000000.0
2671,Brett Ratner,Season of the Witch,91600000.0,5800000.0
2700,Brett Ratner,Tower Heist,152900000.0,1450000.0
3300,Brett Ratner,Hercules,244800000.0,22400000.0
2645,Jesse Peretz,Our Idiot Brother,25861249.0,7930624.5
2231,Joe Wright,The Soloist,38300000.0,-40850000.0
2590,Joe Wright,Hanna,65300000.0,2650000.0
1909,Mickey Liddell,The Haunting of Molly Hartley,15400000.0,2700000.0
1552,Anne Fletcher,Step Up,114200000.0,45100000.0
1553,Anne Fletcher,Step Up,114200000.0,45100000.0
1836,Anne Fletcher,27 Dresses,160300000.0,50150000.0
2218,Anne Fletcher,The Proposal,317400000.0,118700000.0
2816,Anne Fletcher,The Guilt Trip,41900000.0,-19050000.0
3444,Anne Fletcher,Hot Pursuit,51700000.0,-9150000.0
15,Danny Boyle,The Beach,144100000.0,22050000.0
1804,Danny Boyle,Sunshine,32000000.0,-24000000.0
2278,Danny Boyle,127 Hours,60700000.0,12350000.0
64,Sam Raimi,The Gift,44600000.0,12300000.0
585,Sam Raimi,Spider-Man,821700000.0,270850000.0
586,Sam Raimi,Spider-Man,821700000.0,270850000.0
1031,Sam Raimi,Spider-Man 2,783800000.0,191900000.0
1032,Sam Raimi,Spider-Man 2,783800000.0,191900000.0
1797,Sam Raimi,Spider-Man 3,890900000.0,187450000.0
2096,Sam Raimi,Drag Me to Hell,90800000.0,15400000.0
3123,Sam Raimi,Oz the Great and Powerful,493300000.0,86450000.0
1333,Alejandro Gomez Monteverde,Bella,12083296.0,2741648.0
1930,Joel Hopkins,Last Chance Harvey,32561321.0,11280660.5
651,Efram Potelle,The Battle of Shaker Heights,280351.0,-859824.5
397,Steve Beck,Thirteen Ghosts,68467960.0,-7766020.0
489,Steve Beck,Ghost Ship,68300000.0,14150000.0
1086,Michael Ritchie,The Bad News Bears,42349782.0,12174891.0
2647,Ariel Schulman,Paranormal Activity 3,207000000.0,98500000.0
2648,Ariel Schulman,Paranormal Activity 3,207000000.0,98500000.0
2863,Ariel Schulman,Paranormal Activity 4,142800000.0,66400000.0
2864,Ariel Schulman,Paranormal Activity 4,142800000.0,66400000.0
3586,Ariel Schulman,Nerve,83700000.0,21850000.0
222,Gary Trousdale,Atlantis: The Lost Empire,186100000.0,3050000.0
2749,Gary Trousdale,Beauty and the Beast,425000000.0,187500000.0
331,David Lynch,Mulholland Drive,20100000.0,-4950000.0
3458,Alfonso GomezRejon,Me and Earl and the Dying Girl,9100000.0,-3450000.0
2827,Michael Thurmeier,Ice Age: Continental Drift,877000000.0,343500000.0
537,Walt Becker,National Lampoon's Van Wilder,38300000.0,14150000.0
538,Walt Becker,National Lampoon's Van Wilder,38300000.0,14150000.0
1828,Walt Becker,Wild Hogs,253600000.0,66800000.0
2205,Walt Becker,Old Dogs,96800000.0,13400000.0
2223,John Hillcoat,The Road,27600000.0,-11200000.0
2836,John Hillcoat,Lawless,53700000.0,850000.0
3513,John Hillcoat,Triple 9,23400000.0,-8300000.0
72,Eric Blakeney,Gun Shy,3221280.0,-12389360.0
654,Reggie Rock Bythewood,Biker Boyz,23510601.0,-12244699.5
734,Arthur Hiller,The In-Laws,38200000.0,10100000.0
744,Quentin Tarantino,Kill Bill,333100000.0,106550000.0
745,Quentin Tarantino,Kill Bill,333100000.0,106550000.0
958,Quentin Tarantino,Kill Bill,333100000.0,106550000.0
1264,Quentin Tarantino,Sin City,158800000.0,39400000.0
1265,Quentin Tarantino,Sin City,158800000.0,39400000.0
1678,Quentin Tarantino,Grindhouse,25400000.0,-40300000.0
2153,Quentin Tarantino,Inglourious Basterds,321500000.0,90750000.0
2793,Quentin Tarantino,Django Unchained,425400000.0,112700000.0
2551,Chris Gorak,The Darkest Hour,64600000.0,2300000.0
1625,Gbor Csup,Bridge to Terabithia,137600000.0,48800000.0
3602,Vincent Kesteloot,Robinson Crusoe,39500000.0,6750000.0
376,Frank Oz,The Score,113579918.0,-11210041.0
1036,Frank Oz,The Stepford Wives,102001626.0,-38999187.0
2319,Frank Oz,Death at a Funeral,46800000.0,14400000.0
3391,Sergei Bodrov,Seventh Son,114200000.0,-37900000.0
482,William Malone,FeardotCom,18900000.0,-30550000.0
541,Douglas McGrath,Nicholas Nickleby,3700000.0,-8150000.0
1440,Douglas McGrath,Infamous,2613717.0,-11693141.5
2605,Douglas McGrath,I Don't Know How She Does It,30551495.0,-8724252.5
2170,Todd Solondz,Life During Wartime,744816.0,-4127592.0
2171,Todd Solondz,Happiness,2807390.0,-1596305.0
535,Barbet Schroeder,Murder by Numbers,56714147.0,-21642926.5
2379,Derrick Borte,The Joneses,7022728.0,-6488636.0
957,Lodge Kerrigan,Keane,394390.0,-652805.0
3047,Thomas Lennon,Hell Baby,8785.0,-2495607.5
3392,Paul Tibbitt,The SpongeBob Movie: Sponge Out of Water,323400000.0,87700000.0
479,Kurt Wimmer,Equilibrium,5300000.0,-17350000.0
1570,Kurt Wimmer,Ultraviolet,31100000.0,-14450000.0
1006,Jonathan Hensleigh,The Punisher,54700000.0,-5650000.0
2617,Jonathan Hensleigh,Kill the Irishman,1190000.0,-11405000.0
1443,Ericson Core,Invincible,58500000.0,-750000.0
3482,Ericson Core,Point Break,133700000.0,-38150000.0
611,Gore Verbinski uncredited,The Time Machine,123700000.0,-18150000.0
2851,RZA,The Man with the Iron Fists,19700000.0,-5150000.0
2351,Aaron Schneider,Get Low,9700000.0,-2150000.0
3129,Peter Landesman,Parkland,1412181.0,-9293909.5
3479,Peter Landesman,Concussion,48600000.0,-10700000.0
2103,Kevin Tancharoen,Fame,77184633.0,20592316.5
2581,Kevin Tancharoen,Glee: The 3D Concert Movie,18700000.0,350000.0
1423,Alexandre Aja,The Hills Have Eyes,69600000.0,19800000.0
1424,Alexandre Aja,The Hills Have Eyes,69600000.0,19800000.0
1949,Alexandre Aja,Mirrors,77500000.0,3750000.0
1950,Alexandre Aja,Mirrors,77500000.0,3750000.0
2434,Alexandre Aja,Piranha 3D,83100000.0,17550000.0
62,Gregory Hoblit,Frequency,68100000.0,3050000.0
2022,Gregory Hoblit,Untraceable,52659594.0,-8670203.0
1102,Bennett Miller,Capote,49200000.0,17600000.0
2635,Bennett Miller,Moneyball,110200000.0,5100000.0
3354,Bennett Miller,Foxcatcher,13600000.0,-17200000.0
491,Daisy von Scherler Mayer,The Guru,24128852.0,1064426.0
3494,Dan Mazer,Dirty Grandpa,99900000.0,38450000.0
1137,Scott Derrickson,The Exorcism of Emily Rose,144200000.0,52800000.0
1868,Scott Derrickson,The Day the Earth Stood Still,233100000.0,36550000.0
2900,Scott Derrickson,Sinister,77700000.0,35850000.0
3286,Scott Derrickson,Deliver Us from Evil,87900000.0,13950000.0
531,Brad Silberling,Moonlight Mile,10000000.0,-16000000.0
964,Brad Silberling,Lemony Snicket's A Series of Unfortunate Events,209100000.0,-35450000.0
2166,Brad Silberling,Land of the Lost,68800000.0,-65600000.0
1324,Chris Robinson,ATL,21200000.0,-9400000.0
2895,Lorene Scafaria,Seeking a Friend for the End of the World,9600000.0,-5200000.0
3582,David F Sandberg,Lights Out,148900000.0,69550000.0
318,Nicole Holofcener,Lovely and Amazing,4695781.0,2097890.5
1406,Nicole Holofcener,Friends with Money,18200000.0,2600000.0
2436,Nicole Holofcener,Please Give,4600000.0,-700000.0
3009,Nicole Holofcener,Enough Said,25300000.0,4650000.0
100,Peter Farrelly,"Me, Myself & Irene",149270999.0,23635499.5
380,Peter Farrelly,Shallow Hal,141100000.0,30550000.0
689,Peter Farrelly,Dumb and Dumber,247000000.0,106500000.0
690,Peter Farrelly,Dumb and Dumber,247000000.0,106500000.0
815,Peter Farrelly,Stuck on You,65784503.0,-22107748.5
1141,Peter Farrelly,Fever Pitch,50500000.0,-4750000.0
1688,Peter Farrelly,The Heartbreak Kid,127800000.0,3900000.0
2587,Peter Farrelly,Hall Pass,83200000.0,5600000.0
2919,Peter Farrelly,The Three Stooges,54800000.0,-2600000.0
3109,Peter Farrelly,Movie 43,32400000.0,10200000.0
3353,Peter Farrelly,Dumb and Dumber To,169800000.0,34900000.0
1939,Phyllida Lloyd,Mamma Mia!,609800000.0,252900000.0
1229,Dan Ireland,Mrs. Palfrey at the Claremont,3919275.0,1209637.5
3599,Luke Scott,Morgan,8800000.0,-3600000.0
340,Joel Gallen,Not Another Teen Movie,66500000.0,18250000.0
919,Alec Berg,EuroTrip,20796847.0,-14601576.5
1615,Simon J Smith,Bee Movie,287600000.0,-6200000.0
3359,Simon J Smith,Penguins of Madagascar,373000000.0,54500000.0
2850,Asger Leth,Man on a Ledge,46200000.0,-18900000.0
2394,Anand Tucker,Leap Year,32600000.0,-2700000.0
1184,Sydney Pollack,The Interpreter,162900000.0,1450000.0
2271,Bobcat Goldthwait,World's Greatest Dad,295750.0,-9852125.0
2804,Jamie Travis,"For a Good Time, Call...",1251749.0,-674125.5
477,Franc Reyes,Empire,18591272.0,5295636.0
1678,Edgar Wright,Grindhouse,25400000.0,-40300000.0
2454,Edgar Wright,Scott Pilgrim vs. the World,47700000.0,-61150000.0
303,Iain Softley,K-PAX,65001485.0,-35499257.5
1269,Iain Softley,The Skeleton Key,92000000.0,3000000.0
1921,Iain Softley,Inkheart,62450361.0,-28774819.5
1783,Tamara Jenkins,The Savages,9610042.0,-4194979.0
238,Lawrence Guterman,Cats and Dogs,200700000.0,40350000.0
239,Lawrence Guterman,Cats and Dogs,200700000.0,40350000.0
1271,Lawrence Guterman,Son of the Mask,57600000.0,-55200000.0
832,Bruno Barreto,View from the Top,19500000.0,-20250000.0
2053,Phil Traill,All About Steve,40100000.0,5050000.0
1606,Matt Maiellaro,Aqua Teen Hunger Force Colon Movie Film for Theaters,5500000.0,2000000.0
1311,Steven Zaillian,All the King's Men,9500000.0,-50250000.0
1708,James McTeigue uncredited,The Invasion,40200000.0,-44900000.0
198,Fina Torres,Woman on Top,10200000.0,-2900000.0
1547,James Gunn,Slither,12800000.0,-8600000.0
2689,James Gunn,Super,422618.0,-2288691.0
3303,James Gunn,Guardians of the Galaxy,773300000.0,154350000.0
2183,Trevor Moore,Miss March,4600000.0,-3700000.0
90,Jon Turteltaub,The Kid,110300000.0,-9850000.0
987,Jon Turteltaub,National Treasure,358500000.0,79250000.0
988,Jon Turteltaub,National Treasure,358500000.0,79250000.0
1748,Jon Turteltaub,National Treasure: Book of Secrets,457400000.0,98700000.0
2465,Jon Turteltaub,The Sorcerer's Apprentice,215300000.0,-42350000.0
3092,Jon Turteltaub,Last Vegas,134400000.0,39200000.0
339,Christine Lahti,My First Mister,595005.0,-4952497.5
2937,Steve McQueen,12 Years a Slave,187700000.0,76750000.0
3177,Alan Taylor,Thor: The Dark World,644600000.0,152300000.0
3463,Alan Taylor,Terminator Genisys,440600000.0,65300000.0
3610,Doug Sweetland,Storks,182400000.0,21200000.0
880,Sharon Maguire,Bridget Jones's Diary,281900000.0,115950000.0
3604,Sharon Maguire,Bridget Jones's Baby,212000000.0,71000000.0
84,Hugh Hudson,I Dreamed of Africa,14400327.0,-42799836.5
2706,Todd StraussSchulson,A Very Harold & Kumar 3D Christmas,35400000.0,-1300000.0
1104,Bruce Hunt,The Cave,33296457.0,-13351771.5
2117,Hoyt Yeatman,G-Force,292800000.0,-3600000.0
2328,Abe Sylvia,Dirty Girl,55125.0,-3972437.5
2329,Abe Sylvia,Dirty Girl,55125.0,-3972437.5
47,Patrick Lussier,Dracula 2000,47100000.0,-30450000.0
1824,Patrick Lussier,White Noise: The Light,8520000.0,-5740000.0
2186,Patrick Lussier,My Bloody Valentine 3D,100700000.0,36350000.0
2564,Patrick Lussier,Drive Angry,28900000.0,-35550000.0
2510,George Nolfi,The Adjustment Bureau,127900000.0,13750000.0
119,Tom Shadyac,The Nutty Professor,274000000.0,83000000.0
472,Tom Shadyac,Dragonfly,52300000.0,-33850000.0
659,Tom Shadyac,Bruce Almighty,484600000.0,161300000.0
660,Tom Shadyac,Bruce Almighty,484600000.0,161300000.0
1654,Tom Shadyac,Evan Almighty,173400000.0,-88300000.0
144,Bonnie Hunt,Return to Me,36609995.0,-5695002.5
2449,Galt Niederhoffer,The Romantics,123820.0,-4438090.0
211,Anne De Salvo,The Amati Girls,49136.0,-975432.0
3280,Gillian Robespierre,Obvious Child,3300000.0,650000.0
769,Gordon Chan,The Medallion,34268701.0,-23865649.5
135,Taylor Hackford,Proof of Life,62800000.0,-33600000.0
1009,Taylor Hackford,Ray,124700000.0,22350000.0
2408,Taylor Hackford,Love Ranch,137885.0,-24931057.5
3128,Taylor Hackford,Parker,48500000.0,-10750000.0
1150,Danny Cannon,Goal! The Dream Begins,27600000.0,-19200000.0
66,Karyn Kusama,Girlfight,1700000.0,-150000.0
1077,Karyn Kusama,̠on Flux,52300000.0,-38850000.0
2161,Karyn Kusama,Jennifer's Body,31600000.0,-200000.0
3536,Karyn Kusama,The Invitation,354835.0,-822582.5
3060,Ariel Vromen,The Iceman,4400000.0,-7800000.0
3539,Ariel Vromen,Criminal,38800000.0,-12100000.0
1764,Vincent Paronnaud,Persepolis,22800000.0,4100000.0
845,Kevin Allen,Agent Cody Banks 2: Destination London,28800000.0,-11600000.0
3013,Fede lvarez,Evil Dead,97500000.0,31750000.0
1071,Nicole Kassell,The Woodsman,4700000.0,-150000.0
2840,Nicole Kassell,A Little Bit of Heaven,1296937.0,-11851531.5
163,Tom Dey,Shanghai Noon,99300000.0,-5350000.0
164,Tom Dey,Shanghai Noon,99300000.0,-5350000.0
578,Tom Dey,Showtime,77700000.0,-46150000.0
1389,Tom Dey,Failure to Launch,128400000.0,14200000.0
2413,Tom Dey,Marmaduke,83800000.0,-8100000.0
587,Lorna Cook,Spirit: Stallion of the Cimarron,122600000.0,-18700000.0
814,Tom McCarthy,The Station Agent,8679814.0,3839907.0
2714,Tom McCarthy,Win Win,11900000.0,950000.0
3411,Tom McCarthy,The Cobbler,1200000.0,-9400000.0
657,Aaron Blaise,Brother Bear,250400000.0,79200000.0
3294,Roberts Gannaway,Planes: Fire & Rescue,151400000.0,25700000.0
840,Ben Coccio,Zero Day,8466.0,-15767.0
502,Stephen Daldry,The Hours,108800000.0,29400000.0
1979,Stephen Daldry,The Reader,108900000.0,22450000.0
2568,Stephen Daldry,Extremely Loud & Incredibly Close,55200000.0,-12400000.0
2181,Oren Moverman,The Messenger,1521261.0,-5739369.5
1851,Byron Howard,Bolt,310000000.0,5000000.0
2473,Byron Howard,Tangled,591800000.0,35900000.0
3514,Byron Howard,Zootopia,1024000000.0,362000000.0
3508,Christian Ditter,How to Be Single,112300000.0,18150000.0
3328,Anthony Stacchi,The Boxtrolls,109300000.0,-5350000.0
350,Animation,Osmosis Jones,14000000.0,-63000000.0
330,Baz Luhrmann,Moulin Rouge!,179200000.0,37600000.0
3033,Baz Luhrmann,The Great Gatsby,351000000.0,70500000.0
3184,Geoffrey S Fletcher,Violet & Daisy,17186.0,-7991407.0
1581,Fred Walton,When a Stranger Calls,20149106.0,8574553.0
976,Michael Radford,The Merchant of Venice,21417725.0,-19291137.5
2044,Marc Webb,500 Days of Summer,60700000.0,22850000.0
2731,Marc Webb,The Amazing Spider-Man,757900000.0,148950000.0
2732,Marc Webb,The Amazing Spider-Man,757900000.0,148950000.0
3258,Marc Webb,The Amazing Spider-Man 2,709000000.0,154500000.0
1905,Bruce Hendricks,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,70600000.0,28300000.0
1515,Jim Sonzero,Pulse,29907685.0,-5546157.5
898,Jehane Noujaim,Control Room,2586511.0,1233255.5
115,Steve Carr,Next Friday,59800000.0,18900000.0
116,Steve Carr,Next Friday,59800000.0,18900000.0
253,Steve Carr,Dr. Dolittle 2,176100000.0,18050000.0
677,Steve Carr,Daddy Day Care,164400000.0,22200000.0
678,Steve Carr,Daddy Day Care,164400000.0,22200000.0
1249,Steve Carr,Rebound,17500000.0,-24350000.0
2209,Steve Carr,Paul Blart: Mall Cop,183300000.0,65650000.0
2210,Steve Carr,Paul Blart: Mall Cop,183300000.0,65650000.0
3109,Steve Carr,Movie 43,32400000.0,10200000.0
3616,Steve Carr,Middle School: The Worst Years of My Life,23300000.0,3150000.0
501,Tom Brady,The Hot Chick,54600000.0,-6700000.0
1636,Tom Brady,The Comebacks,13539154.0,-13230423.0
2536,Tom Brady,Bucky Larson: Born to Be a Star,2500000.0,-7750000.0
2147,Mike Thurmeier codirector,Ice Age: Dawn of the Dinosaurs,886000000.0,353000000.0
2148,Mike Thurmeier codirector,Ice Age: Dawn of the Dinosaurs,886000000.0,353000000.0
551,Craig McCracken,The Powerpuff Girls Movie,16400000.0,-2800000.0
1436,Mike Judge,Idiocracy,495303.0,-1752348.5
2102,Mike Judge,Extract,10800000.0,-2600000.0
1437,Bryan Barber,Idlewild,12643027.0,-3678486.5
627,Randall Wallace,We Were Soldiers,114660784.0,-17669608.0
2455,Randall Wallace,Secretariat,60300000.0,-4850000.0
3248,Randall Wallace,Heaven Is for Real,101300000.0,38650000.0
177,Gary Goldman,Titan A.E.,36800000.0,-56600000.0
236,John Madden,Captain Corelli's Mandolin,62112895.0,-25943552.5
1247,John Madden,Proof,14189860.0,-12905070.0
2552,John Madden,The Debt,45600000.0,2800000.0
3407,John Madden,The Second Best Exotic Marigold Hotel,86000000.0,33000000.0
883,Bart Freundlich,Catch That Kid!,16900000.0,-3550000.0
1015,David Koepp,Secret Window,92900000.0,6450000.0
1901,David Koepp,Ghost Town,27100000.0,-6450000.0
2873,David Koepp,Premium Rush,31100000.0,-19450000.0
3382,David Koepp,Mortdecai,47300000.0,-36350000.0
3484,Alejandro G Irritu,The Revenant,533000000.0,131500000.0
7,Cameron Crowe,Almost Famous,47400000.0,-36300000.0
406,Cameron Crowe,Vanilla Sky,203400000.0,33700000.0
1134,Cameron Crowe,Elizabethtown,52000000.0,-19000000.0
2712,Cameron Crowe,We Bought a Zoo,120100000.0,10050000.0
3451,Cameron Crowe,Aloha,26300000.0,-38850000.0
2808,Josh Schwartz,Fun Size,11400000.0,-8300000.0
51,Courtney Solomon,Dungeons & Dragons,33800000.0,-28100000.0
3027,Courtney Solomon,Getaway,11800000.0,-12100000.0
899,Lance Rivera,The Cookout,12009070.0,-9995465.0
1762,Lance Rivera,The Perfect Holiday,5812781.0,-17093609.5
622,Malcolm D Lee,Undercover Brother,41600000.0,-4200000.0
1256,Malcolm D Lee,Roll Bounce,17500866.0,-1249567.0
1999,Malcolm D Lee,Soul Men,12331637.0,-33834181.5
2032,Malcolm D Lee,Welcome Home Roscoe Jenkins,43650785.0,-13174607.5
2961,Malcolm D Lee,The Best Man Holiday,71625195.0,18812597.5
2962,Malcolm D Lee,The Best Man,34573780.0,8286890.0
3155,Malcolm D Lee,Scary Movie 5,78400000.0,19200000.0
3538,Malcolm D Lee,Barbershop: The Next Cut,55000000.0,7500000.0
143,Darren Aronofsky,Requiem for a Dream,7400000.0,-800000.0
1404,Darren Aronofsky,The Fountain,16000000.0,-27000000.0
2038,Darren Aronofsky,The Wrestler,44700000.0,16350000.0
2288,Darren Aronofsky,Black Swan,329400000.0,151700000.0
3240,Darren Aronofsky,Noah,362600000.0,56300000.0
