,title_clean,profit_class,revenues_clean,gross_profit,return,costs_clean,release_date,release_week,length_clean,main_topic,site,number_topic
357,The Pledge,0.0,29400000.0,-20300000.0,-0.58,35000000.0,2001-01-19,3.0,123.0,lda_topic_68,https://en.wikipedia.org/wiki/The_Pledge_(film),53
358,Pootie Tang,0.0,3300000.0,-5350000.0,-0.764285714286,7000000.0,2001-06-29,26.0,812,lda_topic_401,https://en.wikipedia.org/wiki/Pootie_Tang,34
359,The Princess Diaries,1.0,165300000.0,56650000.0,2.17884615385,26000000.0,2001-08-03,31.0,115.0,lda_topic_497,https://en.wikipedia.org/wiki/The_Princess_Diaries_(film),50
361,Rat Race,0.0,85500000.0,-5250000.0,-0.109375,48000000.0,2001-08-17,33.0,111.0,lda_topic_68,https://en.wikipedia.org/wiki/Rat_Race_(film),53
362,"It's a Mad, Mad, Mad, Mad World",1.0,60000000.0,20600000.0,2.1914893617,9400000.0,1963-11-07,45.0,1.61192210197e+14,lda_topic_68,"https://en.wikipedia.org/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_World",53
363,Recess: School's Out,0.0,44400000.0,-800000.0,-0.0347826086957,23000000.0,2001-02-16,7.0,831,lda_topic_497,https://en.wikipedia.org/wiki/Recess:_School%27s_Out,50
364,Riding in Cars with Boys,0.0,35700000.0,-30150000.0,-0.628125,48000000.0,2001-10-19,42.0,132,lda_topic_497,https://en.wikipedia.org/wiki/Riding_in_Cars_with_Boys,50
365,Rock Star,0.0,19300000.0,-28350000.0,-0.746052631579,38000000.0,2001-09-07,36.0,105,lda_topic_497,https://en.wikipedia.org/wiki/Rock_Star_(2001_film),50
366,The Royal Tenenbaums,1.0,71400000.0,14700000.0,0.7,21000000.0,2002-01-04,1.0,109,lda_topic_497,https://en.wikipedia.org/wiki/The_Royal_Tenenbaums,50
367,Rush Hour 2,1.0,347300000.0,83650000.0,0.929444444444,90000000.0,2001-08-03,31.0,90,lda_topic_115,https://en.wikipedia.org/wiki/Rush_Hour_2,3
369,Rush Hour,1.0,244400000.0,89200000.0,2.70303030303,33000000.0,1998-09-18,38.0,98,lda_topic_68,https://en.wikipedia.org/wiki/Rush_Hour_(1998_film),53
370,The Safety of Objects,,319299.0,,,,2001-04-24,17.0,121,lda_topic_497,https://en.wikipedia.org/wiki/The_Safety_of_Objects,50
371,Save the Last Dance,,131700000.0,,,,2001-01-12,2.0,112,lda_topic_497,https://en.wikipedia.org/wiki/Save_the_Last_Dance,50
372,Saving Silverman,0.0,26086706.0,-8956647.0,-0.407120318182,22000000.0,2001-02-09,6.0,90,lda_topic_68,https://en.wikipedia.org/wiki/Saving_Silverman,53
373,Say It Isn't So,0.0,12300000.0,-18850000.0,-0.754,25000000.0,2001-03-23,12.0,951,lda_topic_497,https://en.wikipedia.org/wiki/Say_It_Isn%27t_So_(film),50
374,Scary Movie 2,1.0,141200000.0,25600000.0,0.568888888889,45000000.0,2001-07-04,27.0,821,lda_topic_49,https://en.wikipedia.org/wiki/Scary_Movie_2,47
376,The Score,0.0,113579918.0,-11210041.0,-0.164853544118,68000000.0,,,124,lda_topic_68,https://en.wikipedia.org/wiki/The_Score_(2001_film),53
377,See Spot Run,1.0,43057522.0,5528761.0,0.3455475625,16000000.0,2001-03-02,9.0,97,lda_topic_497,https://en.wikipedia.org/wiki/See_Spot_Run,50
378,Serendipity,1.0,77516304.0,10758152.0,0.384219714286,28000000.0,2001-10-05,40.0,911,lda_topic_497,https://en.wikipedia.org/wiki/Serendipity_(film),50
379,Session 9,,1612259.0,,,,2001-08-10,32.0,100.0,lda_topic_68,https://en.wikipedia.org/wiki/Session_9,53
380,Shallow Hal,1.0,141100000.0,30550000.0,0.76375,40000000.0,2001-11-09,45.0,113,lda_topic_497,https://en.wikipedia.org/wiki/Shallow_Hal,50
381,The Shipping News,0.0,24690441.0,-25654779.5,-0.675125776316,38000000.0,2001-12-18,51.0,111,lda_topic_68,https://en.wikipedia.org/wiki/The_Shipping_News_(film),53
382,Shrek,1.0,484400000.0,182200000.0,3.03666666667,60000000.0,2001-05-18,20.0,90,lda_topic_39,https://en.wikipedia.org/wiki/Shrek,31
384,Sidewalks of New York,1.0,3500000.0,750000.0,0.75,1000000.0,2001-11-21,47.0,108,lda_topic_68,https://en.wikipedia.org/wiki/Sidewalks_of_New_York_(2001_film),53
385,Someone like You,0.0,38689940.0,-3655030.0,-0.158914347826,23000000.0,2001-03-30,13.0,97,lda_topic_497,https://en.wikipedia.org/wiki/Someone_Like_You_(film),50
386,Soul Survivors,0.0,4299141.0,-14850429.5,-0.873554676471,17000000.0,2001-09-07,36.0,84,lda_topic_497,https://en.wikipedia.org/wiki/Soul_Survivors,50
387,Spy Game,0.0,143000000.0,-43500000.0,-0.378260869565,115000000.0,2001-11-21,47.0,126,lda_topic_497,https://en.wikipedia.org/wiki/Spy_Game,50
388,Spy Kids,1.0,147900000.0,38950000.0,1.11285714286,35000000.0,2001-03-30,13.0,872,lda_topic_465,https://en.wikipedia.org/wiki/Spy_Kids,44
389,Storytelling,,1300000.0,,,,2002-01-25,4.0,871,lda_topic_68,https://en.wikipedia.org/wiki/Storytelling_(film),53
390,Sugar & Spice,0.0,16908947.0,-18545526.5,-0.686871351852,27000000.0,2001-01-26,4.0,81,lda_topic_497,https://en.wikipedia.org/wiki/Sugar_%26_Spice,50
391,Summer Catch,0.0,19700000.0,-24150000.0,-0.710294117647,34000000.0,2001-08-24,34.0,108,lda_topic_497,https://en.wikipedia.org/wiki/Summer_Catch,50
392,Super Troopers,1.0,23100000.0,10350000.0,8.625,1200000.0,2002-02-15,7.0,103,lda_topic_497,https://en.wikipedia.org/wiki/Super_Troopers,50
393,Sweet November,0.0,65754228.0,-7122886.0,-0.17807215,40000000.0,2001-02-16,7.0,120.0,lda_topic_68,https://en.wikipedia.org/wiki/Sweet_November_(2001_film),53
395,Swordfish,0.0,147000000.0,-28500000.0,-0.279411764706,102000000.0,2001-06-08,23.0,99,lda_topic_68,https://en.wikipedia.org/wiki/Swordfish_(film),53
396,Tape,1.0,515900.0,157950.0,1.5795,100000.0,2001-11-02,44.0,861,lda_topic_77,https://en.wikipedia.org/wiki/Tape_(film),55
397,Thirteen Ghosts,0.0,68467960.0,-7766020.0,-0.184905238095,42000000.0,2001-10-26,43.0,90,lda_topic_497,https://en.wikipedia.org/wiki/Thirteen_Ghosts,50
398,13 Ghosts,,1500000.0,,,,1960-07-10,27.0,841,lda_topic_497,https://en.wikipedia.org/wiki/13_Ghosts,50
399,Tomcats,1.0,23400000.0,700000.0,0.0636363636364,11000000.0,2001-03-30,13.0,95,lda_topic_497,https://en.wikipedia.org/wiki/Tomcats_(2001_film),50
400,Tortilla Soup,,4574762.0,,,,2001-08-24,34.0,103,lda_topic_68,https://en.wikipedia.org/wiki/Tortilla_Soup,53
401,Eat Drink Man Woman,,,,,,,,3.1994199408e+11,lda_topic_68,https://en.wikipedia.org/wiki/Eat_Drink_Man_Woman,53
402,Town & Country,0.0,10400000.0,-84800000.0,-0.942222222222,90000000.0,2001-04-27,17.0,104.0,lda_topic_68,https://en.wikipedia.org/wiki/Town_%26_Country_(film),53
403,Training Day,1.0,104500000.0,7250000.0,0.161111111111,45000000.0,2001-10-05,40.0,122,lda_topic_68,https://en.wikipedia.org/wiki/Training_Day,53
404,Two Can Play That Game,0.0,22391450.0,-1804275.0,-0.138790384615,13000000.0,2001-09-07,36.0,90,lda_topic_497,https://en.wikipedia.org/wiki/Two_Can_Play_That_Game,50
405,Valentine,1.0,36700000.0,8350000.0,0.835,10000000.0,2001-02-02,5.0,962,lda_topic_68,https://en.wikipedia.org/wiki/Valentine_(film),53
406,Vanilla Sky,1.0,203400000.0,33700000.0,0.495588235294,68000000.0,2001-12-14,50.0,137,lda_topic_497,https://en.wikipedia.org/wiki/Vanilla_Sky,50
407,Open Your Eyes,,370720.0,,,,1997-12-19,51.0,11712.0,lda_topic_77,https://en.wikipedia.org/wiki/Open_Your_Eyes_(1997_film),55
408,Waking Life,,3200000.0,,,,2001-10-19,42.0,101.0,lda_topic_68,https://en.wikipedia.org/wiki/Waking_Life,53
409,The Wash,0.0,10229331.0,-1885334.5,-0.2693335,7000000.0,2001-11-16,46.0,93,lda_topic_497,https://en.wikipedia.org/wiki/The_Wash_(2001_film),50
410,The Wedding Planner,1.0,94728529.0,12364264.5,0.3532647,35000000.0,2001-01-26,4.0,103,lda_topic_497,https://en.wikipedia.org/wiki/The_Wedding_Planner,50
411,Wet Hot American Summer,0.0,295206.0,-1652397.0,-0.917998333333,1800000.0,2001-07-27,30.0,97,lda_topic_68,https://en.wikipedia.org/wiki/Wet_Hot_American_Summer,53
412,What's the Worst That Could Happen?,0.0,38464131.0,-40767934.5,-0.679465575,60000000.0,2001-06-01,22.0,94,lda_topic_465,https://en.wikipedia.org/wiki/What%27s_the_Worst_That_Could_Happen%3F,44
413,Zoolander,1.0,60800000.0,2400000.0,0.0857142857143,28000000.0,2001-09-28,39.0,891,lda_topic_406,https://en.wikipedia.org/wiki/Zoolander,36
415,25th Hour,1.0,23900000.0,6950000.0,1.39,5000000.0,2003-01-10,2.0,134.0,lda_topic_330,https://en.wikipedia.org/wiki/25th_Hour,22
416,40 Days and 40 Nights,1.0,95100000.0,30550000.0,1.79705882353,17000000.0,2002-03-01,9.0,96,lda_topic_68,https://en.wikipedia.org/wiki/40_Days_and_40_Nights,53
417,8 Mile,1.0,242900000.0,80450000.0,1.96219512195,41000000.0,2002-11-08,45.0,110.0,lda_topic_497,https://en.wikipedia.org/wiki/8_Mile_(film),50
418,Abandon,0.0,12300000.0,-18850000.0,-0.754,25000000.0,2002-10-18,42.0,99,lda_topic_429,https://en.wikipedia.org/wiki/Abandon_(film),40
419,About a Boy,1.0,130549455.0,35274727.5,1.17582425,30000000.0,,,101,lda_topic_497,https://en.wikipedia.org/wiki/About_a_Boy_(film),50
420,About Schmidt,1.0,105800000.0,22900000.0,0.763333333333,30000000.0,2002-12-13,50.0,124,lda_topic_497,https://en.wikipedia.org/wiki/About_Schmidt,50
421,Adaptation.,0.0,32800000.0,-2600000.0,-0.136842105263,19000000.0,2002-12-06,49.0,114,lda_topic_77,https://en.wikipedia.org/wiki/Adaptation_(film),55
422,The Adventures of Pluto Nash,0.0,7100000.0,-96450000.0,-0.9645,100000000.0,2002-08-16,33.0,95,lda_topic_497,https://en.wikipedia.org/wiki/The_Adventures_of_Pluto_Nash,50
423,All About the Benjamins,0.0,26306533.0,-1846733.5,-0.123115566667,15000000.0,2002-03-08,10.0,98,lda_topic_68,https://en.wikipedia.org/wiki/All_About_the_Benjamins,53
424,Analyze That,0.0,55003135.0,-32498432.5,-0.541640541667,60000000.0,2002-12-06,49.0,96,lda_topic_497,https://en.wikipedia.org/wiki/Analyze_That,50
425,Analyze This,1.0,176900000.0,8450000.0,0.105625,80000000.0,1999-03-05,9.0,103,lda_topic_378,https://en.wikipedia.org/wiki/Analyze_This,29
426,Antwone Fisher,0.0,23400000.0,-800000.0,-0.064,12500000.0,2002-12-19,51.0,120,lda_topic_497,https://en.wikipedia.org/wiki/Antwone_Fisher_(film),50
427,Austin Powers in Goldmember,1.0,296700000.0,85350000.0,1.35476190476,63000000.0,2002-07-26,30.0,98,lda_topic_77,https://en.wikipedia.org/wiki/Austin_Powers_in_Goldmember,55
428,Auto Focus,0.0,2700000.0,-5650000.0,-0.807142857143,7000000.0,2002-10-18,42.0,105,lda_topic_497,https://en.wikipedia.org/wiki/Auto_Focus,50
429,Avenging Angelo,0.0,824597.0,-16587701.5,-0.975747147059,17000000.0,2002-08-30,35.0,96,lda_topic_497,https://en.wikipedia.org/wiki/Avenging_Angelo,50
430,Bad Company,0.0,66000000.0,-37000000.0,-0.528571428571,70000000.0,2002-06-07,23.0,116,lda_topic_68,https://en.wikipedia.org/wiki/Bad_Company_(2002_film),53
431,Ballistic: Ecks vs. Sever,0.0,19900000.0,-60050000.0,-0.857857142857,70000000.0,,,911,lda_topic_497,https://en.wikipedia.org/wiki/Ballistic:_Ecks_vs._Sever,50
432,Banger Sisters,1.0,38000000.0,9000000.0,0.9,10000000.0,2002-09-20,38.0,98,lda_topic_68,https://en.wikipedia.org/wiki/The_Banger_Sisters,53
433,Barbershop,1.0,77063924.0,26531962.0,2.21099683333,12000000.0,2002-09-13,37.0,102,lda_topic_497,https://en.wikipedia.org/wiki/Barbershop_(film),50
435,Below,,605562.0,,,,2002-10-11,41.0,105.0,lda_topic_497,https://en.wikipedia.org/wiki/Below_(film),50
436,Better Luck Tomorrow,1.0,3800000.0,1650000.0,6.6,250000.0,2002-01-12,2.0,101,lda_topic_497,https://en.wikipedia.org/wiki/Better_Luck_Tomorrow,50
437,Big Fat Liar,1.0,53000000.0,11500000.0,0.766666666667,15000000.0,2002-02-08,6.0,88,lda_topic_497,https://en.wikipedia.org/wiki/Big_Fat_Liar,50
438,Big Trouble,0.0,8500000.0,-35750000.0,-0.89375,40000000.0,2002-04-05,14.0,85,lda_topic_68,https://en.wikipedia.org/wiki/Big_Trouble_(2002_film),53
439,Birthday Girl,0.0,16200000.0,-4900000.0,-0.376923076923,13000000.0,2002-08-08,32.0,93,lda_topic_497,https://en.wikipedia.org/wiki/Birthday_Girl,50
440,Blade II,1.0,155000000.0,23500000.0,0.435185185185,54000000.0,2002-03-22,12.0,117.0,lda_topic_77,https://en.wikipedia.org/wiki/Blade_II,55
442,Blade,1.0,131200000.0,25600000.0,0.64,40000000.0,1998-08-21,34.0,120.0,lda_topic_77,https://en.wikipedia.org/wiki/Blade_(film),55
443,Blood Work,0.0,31794718.0,-34102641.0,-0.68205282,50000000.0,2002-08-09,32.0,110,lda_topic_497,https://en.wikipedia.org/wiki/Blood_Work_(film),50
444,Blue Crush,1.0,51843679.0,921839.5,0.03687358,25000000.0,,,104,lda_topic_68,https://en.wikipedia.org/wiki/Blue_Crush,53
445,The Bourne Identity,1.0,214000000.0,47000000.0,0.783333333333,60000000.0,2002-06-14,24.0,118,lda_topic_68,https://en.wikipedia.org/wiki/The_Bourne_Identity_(2002_film),53
446,Bowling for Columbine,1.0,58000000.0,25000000.0,6.25,4000000.0,2002-10-11,41.0,119,lda_topic_497,https://en.wikipedia.org/wiki/Bowling_for_Columbine,50
447,Brown Sugar,1.0,28316451.0,6158225.5,0.7697781875,8000000.0,2002-10-11,41.0,109,lda_topic_68,https://en.wikipedia.org/wiki/Brown_Sugar_(2002_film),53
448,Bubba Ho-tep,0.0,1200000.0,-400000.0,-0.4,1000000.0,2002-06-09,23.0,92,lda_topic_77,https://en.wikipedia.org/wiki/Bubba_Ho-tep,55
449,Cabin Fever,1.0,30600000.0,13800000.0,9.2,1500000.0,2003-09-12,37.0,92,lda_topic_68,https://en.wikipedia.org/wiki/Cabin_Fever_(2002_film),53
450,Catch Me If You Can,1.0,352100000.0,124050000.0,2.38557692308,52000000.0,2002-12-25,52.0,141.0,lda_topic_330,https://en.wikipedia.org/wiki/Catch_Me_If_You_Can,22
451,Changing Lanes,1.0,94935764.0,2467882.0,0.0548418222222,45000000.0,2002-04-12,15.0,99,lda_topic_77,https://en.wikipedia.org/wiki/Changing_Lanes,55
452,Chelsea Walls,0.0,60902.0,-69549.0,-0.69549,100000.0,2002-04-19,16.0,109.0,lda_topic_497,https://en.wikipedia.org/wiki/Chelsea_Walls,50
453,Chicago,1.0,306800000.0,108400000.0,2.40888888889,45000000.0,2002-12-27,52.0,113.0,lda_topic_497,https://en.wikipedia.org/wiki/Chicago_(2002_film),50
454,City by the Sea,0.0,29413966.0,-25293017.0,-0.632325425,40000000.0,2002-09-06,36.0,108,lda_topic_497,https://en.wikipedia.org/wiki/City_by_the_Sea,50
455,Civil Brand,0.0,254293.0,-372853.5,-0.745707,500000.0,2002-05-26,21.0,95,lda_topic_497,https://en.wikipedia.org/wiki/Civil_Brand,50
456,Clockstoppers,0.0,38793283.0,-6603358.5,-0.253975326923,26000000.0,2002-03-29,13.0,94,lda_topic_68,https://en.wikipedia.org/wiki/Clockstoppers,53
457,Collateral Damage,0.0,78300000.0,-45850000.0,-0.539411764706,85000000.0,2002-02-08,6.0,108,lda_topic_68,https://en.wikipedia.org/wiki/Collateral_Damage_(film),53
458,The Crocodile Hunter: Collision Course,1.0,33400000.0,4700000.0,0.391666666667,12000000.0,,,90,lda_topic_77,https://en.wikipedia.org/wiki/The_Crocodile_Hunter:_Collision_Course,55
459,Comedian,,2751988.0,,,,2002-10-11,41.0,81,lda_topic_497,https://en.wikipedia.org/wiki/Comedian_(film),50
460,Confessions of a Dangerous Mind,0.0,33100000.0,-13450000.0,-0.448333333333,30000000.0,2003-01-24,4.0,113.0,lda_topic_77,https://en.wikipedia.org/wiki/Confessions_of_a_Dangerous_Mind,55
461,The Count of Monte Cristo,1.0,75400000.0,2700000.0,0.0771428571429,35000000.0,2002-01-25,4.0,131,lda_topic_497,https://en.wikipedia.org/wiki/The_Count_of_Monte_Cristo_(2002_film),50
462,The Country Bears,0.0,18012097.0,-25993951.5,-0.742684328571,35000000.0,2002-07-26,30.0,88,lda_topic_497,https://en.wikipedia.org/wiki/The_Country_Bears,50
463,Crossroads,1.0,61100000.0,18550000.0,1.54583333333,12000000.0,2002-02-15,7.0,94,lda_topic_497,https://en.wikipedia.org/wiki/Crossroads_(2002_film),50
464,The Dancer Upstairs,,5200000.0,,,,2003-05-02,18.0,133.0,lda_topic_497,https://en.wikipedia.org/wiki/The_Dancer_Upstairs_(film),50
465,The Dangerous Lives of Altar Boys,0.0,2036599.0,-10981700.5,-0.915141708333,12000000.0,2002-06-14,24.0,104,lda_topic_68,https://en.wikipedia.org/wiki/The_Dangerous_Lives_of_Altar_Boys,53
466,Dark Blue,0.0,12150301.0,-8924849.5,-0.594989966667,15000000.0,2003-02-21,8.0,118,lda_topic_68,https://en.wikipedia.org/wiki/Dark_Blue_(film),53
468,Darkness,1.0,34409206.0,6604603.0,0.623075754717,10600000.0,2004-12-25,52.0,102,lda_topic_49,https://en.wikipedia.org/wiki/Darkness_(2002_film),47
469,Death to Smoochy,0.0,8382938.0,-45808531.0,-0.91617062,50000000.0,2002-03-29,13.0,105,lda_topic_340,https://en.wikipedia.org/wiki/Death_to_Smoochy,24
470,Deuces Wild,0.0,6282446.0,-6858777.0,-0.6858777,10000000.0,2002-05-03,18.0,98,lda_topic_497,https://en.wikipedia.org/wiki/Deuces_Wild,50
471,Divine Secrets of the Ya-Ya Sisterhood,1.0,73839240.0,9919620.0,0.367393333333,27000000.0,2002-06-07,23.0,116,lda_topic_497,https://en.wikipedia.org/wiki/Divine_Secrets_of_the_Ya-Ya_Sisterhood_(film),50
472,Dragonfly,0.0,52300000.0,-33850000.0,-0.564166666667,60000000.0,2002-02-22,8.0,104,lda_topic_68,https://en.wikipedia.org/wiki/Dragonfly_(2002_film),53
473,Drumline,1.0,57600000.0,8800000.0,0.44,20000000.0,2002-12-13,50.0,118,lda_topic_497,https://en.wikipedia.org/wiki/Drumline_(film),50
474,Eight Crazy Nights,0.0,23800000.0,-22100000.0,-0.65,34000000.0,2002-11-27,48.0,76,lda_topic_497,https://en.wikipedia.org/wiki/Eight_Crazy_Nights,50
475,Eight Legged Freaks,0.0,45867333.0,-7066333.5,-0.23554445,30000000.0,2002-07-17,29.0,100,lda_topic_497,https://en.wikipedia.org/wiki/Eight_Legged_Freaks,50
476,The Emperor's Club,0.0,16318449.0,-4340775.5,-0.34726204,12500000.0,2002-11-22,47.0,109.0,lda_topic_68,https://en.wikipedia.org/wiki/The_Emperor%27s_Club,53
477,Empire,1.0,18591272.0,5295636.0,1.323909,4000000.0,2002-12-06,49.0,90,lda_topic_497,https://en.wikipedia.org/wiki/Empire_(2002_film),50
478,Enough,0.0,51801187.0,-12099406.5,-0.318405434211,38000000.0,2002-05-24,21.0,116,lda_topic_497,https://en.wikipedia.org/wiki/Enough_(film),50
479,Equilibrium,0.0,5300000.0,-17350000.0,-0.8675,20000000.0,2002-12-06,49.0,107.0,lda_topic_413,https://en.wikipedia.org/wiki/Equilibrium_(film),39
480,Evelyn,,4141740.0,,,,2003-03-21,12.0,93,lda_topic_497,https://en.wikipedia.org/wiki/Evelyn_(film),50
481,Far From Heaven,1.0,29000000.0,1000000.0,0.0740740740741,13500000.0,2002-11-22,47.0,107.0,lda_topic_68,https://en.wikipedia.org/wiki/Far_from_Heaven,53
482,FeardotCom,0.0,18900000.0,-30550000.0,-0.76375,40000000.0,2002-08-30,35.0,101,lda_topic_497,https://en.wikipedia.org/wiki/FeardotCom,50
483,The First $20 Million Is Always the Hardest,0.0,5491.0,-16997254.5,-0.9998385,17000000.0,,,105,lda_topic_68,https://en.wikipedia.org/wiki/The_First_$20_Million_Is_Always_the_Hardest,53
484,Frida,1.0,56300000.0,16150000.0,1.34583333333,12000000.0,2002-08-29,35.0,123,lda_topic_68,https://en.wikipedia.org/wiki/Frida,53
485,Friday After Next,1.0,33500000.0,6750000.0,0.675,10000000.0,2002-11-22,47.0,84,lda_topic_290,https://en.wikipedia.org/wiki/Friday_After_Next,16
486,The Four Feathers,0.0,29000000.0,-20500000.0,-0.585714285714,35000000.0,2002-09-20,38.0,13012.0,lda_topic_497,https://en.wikipedia.org/wiki/The_Four_Feathers_(2002_film),50
487,Full Frontal,0.0,3438804.0,-280598.0,-0.140299,2000000.0,2002-08-02,31.0,101,lda_topic_497,https://en.wikipedia.org/wiki/Full_Frontal_(film),50
488,Gangs of New York,0.0,193800000.0,-3100000.0,-0.031,100000000.0,2002-12-20,51.0,168.0,lda_topic_330,https://en.wikipedia.org/wiki/Gangs_of_New_York,22
489,Ghost Ship,1.0,68300000.0,14150000.0,0.7075,20000000.0,2002-10-25,43.0,901,lda_topic_77,https://en.wikipedia.org/wiki/Ghost_Ship_(2002_film),55
490,The Good Girl,1.0,16900000.0,450000.0,0.05625,8000000.0,2002-08-30,35.0,931,lda_topic_497,https://en.wikipedia.org/wiki/The_Good_Girl,50
491,The Guru,1.0,24128852.0,1064426.0,0.096766,11000000.0,2002-08-23,34.0,94,lda_topic_68,https://en.wikipedia.org/wiki/The_Guru_(2002_film),53
492,Half Past Dead,0.0,19200000.0,-15400000.0,-0.616,25000000.0,2002-11-15,46.0,98,lda_topic_497,https://en.wikipedia.org/wiki/Half_Past_Dead,50
493,Halloween: Resurrection,1.0,37600000.0,5800000.0,0.446153846154,13000000.0,2002-07-12,28.0,89,lda_topic_497,https://en.wikipedia.org/wiki/Halloween:_Resurrection,50
495,Harry Potter and the Chamber of Secrets,1.0,879000000.0,339500000.0,3.395,100000000.0,2002-11-15,46.0,161.0,lda_topic_378,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Chamber_of_Secrets_(film),29
497,Hart's War,,,,,70000000.0,2002-02-15,7.0,125,lda_topic_497,https://en.wikipedia.org/wiki/Hart%27s_War,50
498,Hey Arnold!: The Movie,1.0,15200000.0,4600000.0,1.53333333333,3000000.0,2002-06-28,26.0,761,lda_topic_68,https://en.wikipedia.org/wiki/Hey_Arnold!:_The_Movie,53
499,High Crimes,0.0,63800000.0,-10100000.0,-0.240476190476,42000000.0,2002-04-05,14.0,115,lda_topic_68,https://en.wikipedia.org/wiki/High_Crimes,53
500,Hollywood Ending,0.0,14839383.0,-8580308.5,-0.53626928125,16000000.0,2002-05-03,18.0,114.0,lda_topic_68,https://en.wikipedia.org/wiki/Hollywood_Ending,53
501,The Hot Chick,0.0,54600000.0,-6700000.0,-0.197058823529,34000000.0,2002-12-13,50.0,104.0,lda_topic_497,https://en.wikipedia.org/wiki/The_Hot_Chick,50
502,The Hours,1.0,108800000.0,29400000.0,1.176,25000000.0,2003-02-14,7.0,114.0,lda_topic_497,https://en.wikipedia.org/wiki/The_Hours_(film),50
503,I Spy,0.0,50700000.0,-44650000.0,-0.637857142857,70000000.0,2002-11-01,44.0,97,lda_topic_497,https://en.wikipedia.org/wiki/I_Spy_(film),50
504,Ice Age,1.0,383300000.0,132650000.0,2.24830508475,59000000.0,2002-03-15,11.0,81,lda_topic_77,https://en.wikipedia.org/wiki/Ice_Age_(2002_film),55
506,Igby Goes Down,0.0,6919198.0,-5540401.0,-0.615600111111,9000000.0,2002-09-13,37.0,98,lda_topic_68,https://en.wikipedia.org/wiki/Igby_Goes_Down,53
507,Impostor,0.0,8145549.0,-35927225.5,-0.8981806375,40000000.0,2002-01-04,1.0,102,lda_topic_497,https://en.wikipedia.org/wiki/Impostor_(film),50
508,Insomnia,1.0,113700000.0,10850000.0,0.235869565217,46000000.0,2002-05-24,21.0,118.0,lda_topic_68,https://en.wikipedia.org/wiki/Insomnia_(2002_film),53
509,Jackass: The Movie,1.0,79400000.0,34700000.0,6.94,5000000.0,2002-10-25,43.0,84,lda_topic_497,https://en.wikipedia.org/wiki/Jackass:_The_Movie,50
511,Jason X,0.0,17000000.0,-2500000.0,-0.227272727273,11000000.0,2002-04-26,17.0,92,lda_topic_435,https://en.wikipedia.org/wiki/Jason_X,41
513,Jason Goes to Hell: The Final Friday,1.0,15900000.0,4950000.0,1.65,3000000.0,1993-08-13,32.0,88,lda_topic_68,https://en.wikipedia.org/wiki/Jason_Goes_to_Hell:_The_Final_Friday,53
514,John Q.,1.0,102244770.0,15122385.0,0.42006625,36000000.0,2002-02-15,7.0,116,lda_topic_68,https://en.wikipedia.org/wiki/John_Q,53
515,Jonah: A VeggieTales Movie,0.0,25600000.0,-1200000.0,-0.0857142857143,14000000.0,2002-10-04,40.0,83,lda_topic_68,https://en.wikipedia.org/wiki/Jonah:_A_VeggieTales_Movie,53
516,Juwanna Mann,,13802599.0,,,,2002-06-21,25.0,91,lda_topic_68,https://en.wikipedia.org/wiki/Juwanna_Mann,53
517,K-19: The Widowmaker,0.0,65700000.0,-67150000.0,-0.6715,100000000.0,2002-10-25,43.0,138.0,lda_topic_77,https://en.wikipedia.org/wiki/K-19:_The_Widowmaker,55
518,Kung Pow! Enter the Fist,0.0,17000000.0,-1500000.0,-0.15,10000000.0,2002-01-25,4.0,81,lda_topic_77,https://en.wikipedia.org/wiki/Kung_Pow!_Enter_the_Fist,55
519,Laurel Canyon,,4412203.0,,,,2003-03-07,10.0,101,lda_topic_497,https://en.wikipedia.org/wiki/Laurel_Canyon_(film),50
520,Life or Something Like It,0.0,16872671.0,-31563664.5,-0.7890916125,40000000.0,,,103,lda_topic_497,https://en.wikipedia.org/wiki/Life_or_Something_Like_It,50
521,Like Mike,1.0,62300000.0,1150000.0,0.0383333333333,30000000.0,2002-07-03,27.0,99,lda_topic_68,https://en.wikipedia.org/wiki/Like_Mike,53
522,Lilo & Stitch,1.0,273100000.0,56550000.0,0.706875,80000000.0,2002-06-21,25.0,85,lda_topic_77,https://en.wikipedia.org/wiki/Lilo_%26_Stitch,55
523,The Lord of the Rings: The Two Towers,1.0,926000000.0,369000000.0,3.92553191489,94000000.0,2002-12-18,51.0,179123.0,lda_topic_497,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers,50
525,Maid in Manhattan,1.0,154900000.0,22450000.0,0.408181818182,55000000.0,2002-12-13,50.0,105,lda_topic_497,https://en.wikipedia.org/wiki/Maid_in_Manhattan,50
526,The Master of Disguise,1.0,43400000.0,5700000.0,0.35625,16000000.0,,,81,lda_topic_497,https://en.wikipedia.org/wiki/The_Master_of_Disguise,50
527,Men in Black II,1.0,441800000.0,80900000.0,0.577857142857,140000000.0,2002-07-03,27.0,89,lda_topic_77,https://en.wikipedia.org/wiki/Men_in_Black_II,55
529,Men in Black,1.0,589400000.0,204700000.0,2.27444444444,90000000.0,1997-07-02,27.0,98,lda_topic_497,https://en.wikipedia.org/wiki/Men_in_Black_(film),50
530,Minority Report,1.0,358400000.0,77200000.0,0.756862745098,102000000.0,2002-06-21,25.0,145.0,lda_topic_68,https://en.wikipedia.org/wiki/Minority_Report_(film),53
