,name,title_clean,revenues_clean,gross_profit,costs_clean
200,Anna Paquin,X-Men,296300000.0,73150000.0,75000000.0
234,Anna Paquin,Buffalo Soldiers,2300684.0,-13849658.0,15000000.0
415,Anna Paquin,25th Hour,23900000.0,6950000.0,5000000.0
468,Anna Paquin,Darkness,34409206.0,6604603.0,10600000.0
837,Anna Paquin,X2,407700000.0,93850000.0,110000000.0
1274,Anna Paquin,The Squid and the Whale,11000000.0,4000000.0,1500000.0
1589,Anna Paquin,X-Men: The Last Stand,459400000.0,19700000.0,210000000.0
2254,Anna Paquin,Trick 'r Treat,13500000.0,-5250000.0,12000000.0
2449,Anna Paquin,The Romantics,123820.0,-4438090.0,4500000.0
2628,Anna Paquin,Margaret,623292.0,-13688354.0,14000000.0
3170,Anna Paquin,Straight A's,5234456.0,617228.0,2000000.0
3271,Anna Paquin,X-Men: Days of Future Past,747900000.0,173950000.0,200000000.0
3476,Anna Paquin,The Good Dinosaur,332200000.0,-8900000.0,175000000.0
530,Samantha Morton,Minority Report,358400000.0,77200000.0,102000000.0
1638,Samantha Morton,Control,8900000.0,-1950000.0,6400000.0
2181,Samantha Morton,The Messenger,1521261.0,-5739369.5,6500000.0
2830,Samantha Morton,John Carter,284100000.0,-107950000.0,250000000.0
1824,Katee Sackhoff,White Noise: The Light,8520000.0,-5740000.0,10000000.0
3045,Katee Sackhoff,The Haunting in Connecticut 2: Ghosts of Georgia,2382965.0,-308517.5,1500000.0
3148,Katee Sackhoff,Riddick,98300000.0,11150000.0,38000000.0
3246,Katee Sackhoff,Oculus,44000000.0,17000000.0,5000000.0
188,James Caan,The Way of the Gun,13069740.0,-1965130.0,8500000.0
202,James Caan,The Yards,889352.0,-23555324.0,24000000.0
695,James Caan,Elf,220400000.0,77200000.0,33000000.0
1900,James Caan,Get Smart,230700000.0,35350000.0,80000000.0
2081,James Caan,Cloudy with a Chance of Meatballs,243000000.0,21500000.0,100000000.0
2415,James Caan,Middle Men,754301.0,-19622849.5,20000000.0
2985,James Caan,Cloudy with a Chance of Meatballs 2,274300000.0,59150000.0,78000000.0
2057,Nikolaj Lie Kaas,Angels & Demons,485900000.0,92950000.0,150000000.0
1977,Jake La Botz,Rambo,113200000.0,6600000.0,50000000.0
2286,Irina Bjrklund,The American,67900000.0,13950000.0,20000000.0
1387,James Blackwell,Facing the Giants,10243159.0,5021579.5,100000.0
290,Lisa Spoonhauer,Clerks,3200000.0,1572425.0,27575.0
52,David Spade,The Emperor's New Groove,169300000.0,-15350000.0,100000000.0
295,David Spade,Joe Dirt,31000000.0,-2200000.0,17700000.0
683,David Spade,Dickie Roberts: Former Child Star,23800000.0,-5100000.0,17000000.0
1248,David Spade,Racing Stripes,90800000.0,15400000.0,30000000.0
1334,David Spade,The Benchwarmers,65000000.0,-500000.0,33000000.0
2357,David Spade,Grown Ups,271400000.0,55700000.0,80000000.0
2823,David Spade,Hotel Transylvania,358400000.0,94200000.0,85000000.0
3036,David Spade,Grown Ups 2,247000000.0,43500000.0,80000000.0
1135,Jeffrey Skilling,Enron: The Smartest Guys in the Room,4900000.0,1750000.0,700000.0
2905,Whitney Houston,Sparkle,24000000.0,-2000000.0,14000000.0
1574,Michael J Reynolds,United 93,76300000.0,23150000.0,15000000.0
40,Sam Elliott,The Contender,22361811.0,-8819094.5,20000000.0
627,Sam Elliott,We Were Soldiers,114660784.0,-17669608.0,75000000.0
727,Sam Elliott,Hulk,245400000.0,-14300000.0,137000000.0
1328,Sam Elliott,Barnyard,116500000.0,7250000.0,51000000.0
1563,Sam Elliott,Thank You for Smoking,39300000.0,9650000.0,10000000.0
1669,Sam Elliott,Ghost Rider,228700000.0,4350000.0,110000000.0
1672,Sam Elliott,The Golden Compass,372000000.0,6000000.0,180000000.0
2094,Sam Elliott,Did You Hear About the Morgans?,85300000.0,-15350000.0,58000000.0
3245,Sam Elliott,Draft Day,29500000.0,-10250000.0,25000000.0
763,Gloria Foster,The Matrix Reloaded,742100000.0,244050000.0,127000000.0
2427,Brian Boland,Paranormal Activity 2,177500000.0,85750000.0,3000000.0
2080,Chris Massoglia,Cirque du Freak: The Vampire's Assistant,39232113.0,-20383943.5,40000000.0
2136,Chris Massoglia,The Hole,10362785.0,-6818607.5,12000000.0
1288,Pell James,Undiscovered,1100000.0,-8450000.0,9000000.0
182,Miguel Angel Suarez,Under Suspicion,260562.0,-24869719.0,25000000.0
110,Thandie Newton,Mission: Impossible 2,546400000.0,148200000.0,125000000.0
617,Thandie Newton,The Truth About Charlie,7100000.0,-56450000.0,60000000.0
888,Thandie Newton,The Chronicles of Riddick,115800000.0,-47100000.0,105000000.0
900,Thandie Newton,Crash,98400000.0,42700000.0,6500000.0
1517,Thandie Newton,The Pursuit of Happyness,307100000.0,98550000.0,55000000.0
1754,Thandie Newton,Norbit,159300000.0,19650000.0,60000000.0
2026,Thandie Newton,W.,29500000.0,-10350000.0,25100000.0
