,title_clean,site,revenues_clean,costs_clean,gross_profit,return,profit_class,release_date
289,Jay and Silent Bob Strike Back,https://en.wikipedia.org/wiki/Jay_and_Silent_Bob_Strike_Back,33800000.0,22000000.0,-5100000.0,-0.231818181818,0.0,2001-08-24
292,Jeepers Creepers,https://en.wikipedia.org/wiki/Jeepers_Creepers_(2001_film),59200000.0,10000000.0,19600000.0,1.96,1.0,2001-08-31
294,Jimmy Neutron: Boy Genius,https://en.wikipedia.org/wiki/Jimmy_Neutron:_Boy_Genius_(film),103000000.0,30000000.0,21500000.0,0.716666666667,1.0,2001-12-21
295,Joe Dirt,https://en.wikipedia.org/wiki/Joe_Dirt,31000000.0,17700000.0,-2200000.0,-0.124293785311,0.0,2001-04-11
296,Joe Somebody,https://en.wikipedia.org/wiki/Joe_Somebody,24516772.0,38000000.0,-25741614.0,-0.677410894737,0.0,2001-12-21
297,Josie and the Pussycats,https://en.wikipedia.org/wiki/Josie_and_the_Pussycats_(film),14900000.0,39000000.0,-31550000.0,-0.808974358974,0.0,2001-04-11
298,Joy Ride,https://en.wikipedia.org/wiki/Joy_Ride_(2001_film),36600000.0,23000000.0,-4700000.0,-0.204347826087,0.0,2001-10-05
299,Jurassic Park III,https://en.wikipedia.org/wiki/Jurassic_Park_III,368800000.0,93000000.0,91400000.0,0.982795698925,1.0,2001-07-18
300,The Lost World: Jurassic Park,https://en.wikipedia.org/wiki/The_Lost_World:_Jurassic_Park,618600000.0,73000000.0,236300000.0,3.23698630137,1.0,1997-05-23
301,Just Visiting,https://en.wikipedia.org/wiki/Just_Visiting_(film),16200000.0,35000000.0,-26900000.0,-0.768571428571,0.0,2001-04-11
302,Les Visiteurs,https://en.wikipedia.org/wiki/Les_Visiteurs,98800000.0,9500000.0,39900000.0,4.2,1.0,1993-01-27
303,K-PAX,https://en.wikipedia.org/wiki/K-PAX_(film),65001485.0,68000000.0,-35499257.5,-0.522047904412,0.0,2001-10-26
304,Kate & Leopold,https://en.wikipedia.org/wiki/Kate_%26_Leopold,76019048.0,48000000.0,-9990476.0,-0.208134916667,0.0,2001-12-25
305,Kingdom Come,https://en.wikipedia.org/wiki/Kingdom_Come_(2001_film),23396049.0,7000000.0,4698024.5,0.671146357143,1.0,2001-04-11
306,Kiss of the Dragon,https://en.wikipedia.org/wiki/Kiss_of_the_Dragon,64400000.0,25000000.0,7200000.0,0.288,1.0,2001-08-01
307,Kissing Jessica Stein,https://en.wikipedia.org/wiki/Kissing_Jessica_Stein,10000000.0,1000000.0,4000000.0,4.0,1.0,2002-03-13
308,A Knight's Tale,https://en.wikipedia.org/wiki/A_Knight%27s_Tale,117500000.0,65000000.0,-6250000.0,-0.0961538461538,0.0,2001-05-11
309,Knockaround Guys,https://en.wikipedia.org/wiki/Knockaround_Guys,14069721.0,15000000.0,-7965139.5,-0.5310093,0.0,2002-10-11
310,L.I.E.,https://en.wikipedia.org/wiki/L.I.E.,1667192.0,700000.0,133596.0,0.190851428571,1.0,2001-01-20
311,Lara Croft: Tomb Raider,https://en.wikipedia.org/wiki/Lara_Croft:_Tomb_Raider,274700000.0,115000000.0,22350000.0,0.194347826087,1.0,2001-06-15
313,The Last Castle,https://en.wikipedia.org/wiki/The_Last_Castle,27600000.0,72000000.0,-58200000.0,-0.808333333333,0.0,2001-10-19
314,Legally Blonde,https://en.wikipedia.org/wiki/Legally_Blonde,141800000.0,18000000.0,52900000.0,2.93888888889,1.0,2001-07-13
316,Life as a House,https://en.wikipedia.org/wiki/Life_as_a_House,23903791.0,27000000.0,-15048104.5,-0.557337203704,0.0,2001-10-26
317,The Lord of the Rings: The Fellowship of the Ring,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,871500000.0,93000000.0,342750000.0,3.68548387097,1.0,2001-12-20
318,Lovely and Amazing,https://en.wikipedia.org/wiki/Lovely_%26_Amazing,4695781.0,250000.0,2097890.5,8.391562,1.0,2002-06-28
319,The Majestic,https://en.wikipedia.org/wiki/The_Majestic_(film),37300000.0,72000000.0,-53350000.0,-0.740972222222,0.0,2001-12-21
