,total_rev,total_profit,count,title_names,total_budget,name,return
Nelson Vargas,388998.0,-12805501.0,1,The Game of Their Lives**,13000000.0,Nelson Vargas,-0.985038538462
Troy Garity,175063924.0,5531962.0,3,Barbershop**Barbershop 2: Back in Business**Sunshine**,82000000.0,Troy Garity,0.0674629512195
David Zayas,486993371.0,86496685.5,3,The Expendables**Skyline**Annie**,157000000.0,David Zayas,0.550934302548
Mary Kay Place,220388556.0,5694278.0,6,Sweet Home Alabama**Lonesome Jim**Nine Lives**City of Ember**Youth in Revolt**Smashed**,104500000.0,Mary Kay Place,0.0544906985646
Alessandro Nivola,458764642.0,75382321.0,5,Jurassic Park III**Goal! The Dream Begins**Junebug**The Eye**Devil's Knot**,154000000.0,Alessandro Nivola,0.489495590909
Riz Ahmed,465800000.0,104400000.0,2,Nightcrawler**Jason Bourne**,128500000.0,Riz Ahmed,0.812451361868
Paul Rae,65400000.0,11600000.0,2,Daddy Day Camp**Texas Chainsaw**,21100000.0,Paul Rae,0.549763033175
Jackie Earle Haley,837061963.0,-64969018.5,9,The Bad News Bears**All the King's Men**Little Children**Watchmen**A Nightmare on Elm Street**Dark Shadows**Parkland**London Has Fallen**The Birth of a Nation**,483500000.0,Jackie Earle Haley,-0.134372323681
Carly Pope,30500000.0,-19750000.0,1,Two for the Money**,35000000.0,Carly Pope,-0.564285714286
Rhys Ifans,1011954790.0,20977395.0,8,Little Nicky**Greenberg**Nanny McPhee and the Big Bang**Passion Play**The Amazing Spider-Man**The Five-Year Engagement**Serena**Snowden**,485000000.0,Rhys Ifans,0.0432523608247
Richard Crenna,189000000.0,36500000.0,1,Rambo III**,58000000.0,Richard Crenna,0.629310344828
Jerry Daugirda,40000000.0,19850000.0,1,Gone in 60 Seconds**,150000.0,Jerry Daugirda,132.333333333
Katherine LaNasa,104900000.0,-42550000.0,1,The Campaign**,95000000.0,Katherine LaNasa,-0.447894736842
Ted Nugent,7587334.0,-20206333.0,1,Beer for My Horses**,24000000.0,Ted Nugent,-0.841930541667
Robert Capron,225200000.0,54600000.0,3,Diary of a Wimpy Kid**Diary of a Wimpy Kid: Rodrick Rules**Diary of a Wimpy Kid: Dog Days**,58000000.0,Robert Capron,0.941379310345
Cathy MoriartyGentile,55003135.0,-32498432.5,1,Analyze That**,60000000.0,Cathy MoriartyGentile,-0.541640541667
Amanda Detmer,272637321.0,-61681339.5,5,"Boys and Girls**The Majestic**Saving Silverman**Big Fat Liar**You, Me and Dupree**",198000000.0,Amanda Detmer,-0.311521916667
Caity Lotz,16500000.0,-11750000.0,1,Battle of the Year**,20000000.0,Caity Lotz,-0.5875
Ashley Boettcher,57900000.0,-16050000.0,1,Aliens in the Attic**,45000000.0,Ashley Boettcher,-0.356666666667
Christopher Walken,2341037565.0,180718782.5,19,The Affair of the Necklace**Joe Dirt**The Country Bears**Poolhall Junkies**Kangaroo Jack**The Rundown**Envy**Man on Fire**The Stepford Wives**Domino**Wedding Crashers**Click**Man of the Year**Hairspray**Kill the Irishman**Stand Up Guys**Jersey Boys**The Jungle Book**Nine Lives**,989800000.0,Christopher Walken,0.18258110982
Eileen Davidson,10600000.0,4875000.0,1,The House on Sorority Row**,425000.0,Eileen Davidson,11.4705882353
Cliff Curtis,933400000.0,-53300000.0,8,"Training Day**Collateral Damage**Sunshine**10,000 BC**The Last Airbender**Colombiana**A Thousand Words**Risen**",520000000.0,Cliff Curtis,-0.1025
Clint Howard,13800000.0,-5100000.0,1,House of the Dead**,12000000.0,Clint Howard,-0.425
Burgess Meredith,160900000.0,23450000.0,2,Rocky V**Clash of the Titans**,57000000.0,Burgess Meredith,0.411403508772
Tommy Luske,87400000.0,39700000.0,1,Peter Pan**,4000000.0,Tommy Luske,9.925
Dyllan Christopher,21900000.0,-15050000.0,1,Unaccompanied Minors**,26000000.0,Dyllan Christopher,-0.578846153846
Stockard Channing,115857402.0,-49071299.0,4,Isn't She Great**Where The Heart Is**Anything Else**Must Love Dogs**,107000000.0,Stockard Channing,-0.458610271028
Vanessa Hudgens,802042483.0,165821241.5,8,Thirteen**High School Musical 3: Senior Year**Bandslam**Beastly**Sucker Punch**Journey 2: The Mysterious Island**The Frozen Ground**Spring Breakers**,235200000.0,Vanessa Hudgens,0.705022285289
Shakira,1024000000.0,362000000.0,1,Zootopia**,150000000.0,Shakira,2.41333333333
John Gallagher Jr,112500000.0,40250000.0,2,Short Term 12**10 Cloverfield Lane**,16000000.0,John Gallagher Jr,2.515625
Tom Mison,56706628.0,13353314.0,1,One Day**,15000000.0,Tom Mison,0.890220933333
Chihiro Otsuka,12000000.0,-13500000.0,1,Godzilla: Final Wars**,19500000.0,Chihiro Otsuka,-0.692307692308
Cody Horn,167200000.0,76600000.0,1,Magic Mike**,7000000.0,Cody Horn,10.9428571429
Kelly Macdonald,754672281.0,144136140.5,4,Gosford Park**Nanny McPhee**Choke**Brave**,233200000.0,Kelly Macdonald,0.618079504717
Treat Williams,336881168.0,34940584.0,5,Hollywood Ending**Miss Congeniality 2: Armed and Fabulous**What Happens in Vegas**A Little Bit of Heaven**In the Blood**,133500000.0,Treat Williams,0.261727220974
Karan Soni,4400000.0,1450000.0,1,Safety Not Guaranteed**,750000.0,Karan Soni,1.93333333333
John Amos,66900000.0,13450000.0,1,Madea's Witness Protection**,20000000.0,John Amos,0.6725
Derek Jacobi,1202300000.0,338350000.0,4,Gladiator**Gosford Park**Underworld: Evolution**Cinderella**,262800000.0,Derek Jacobi,1.28748097412
Godfrey,98003491.0,-13998254.5,2,Phat Girlz**The Mortal Instruments: City of Bones**,63000000.0,Godfrey,-0.222194515873
Parker Mack,81700000.0,31850000.0,1,Ouija: Origin of Evil**,9000000.0,Parker Mack,3.53888888889
Heather Langenkamp,45200000.0,12800000.0,2,Wes Craven's New Nightmare**A Nightmare on Elm Street**,9800000.0,Heather Langenkamp,1.30612244898
Sarah Brightman,188126.0,-8405937.0,1,Repo! The Genetic Opera**,8500000.0,Sarah Brightman,-0.988933764706
Ewen Bremner,584431041.0,-23784479.5,5,Black Hawk Down**The Rundown**Alien vs. Predator**Fool's Gold**Death at a Funeral**,316000000.0,Ewen Bremner,-0.0752673401899
Clayne Crawford,34460004.0,6730002.0,2,Swimfan**The Perfect Host**,10500000.0,Clayne Crawford,0.640952571429
Billie Whitelaw,60900000.0,27650000.0,1,The Omen**,2800000.0,Billie Whitelaw,9.875
Sadie Robertson,25600000.0,6300000.0,2,God's Not Dead 2**I'm Not Ashamed**,6500000.0,Sadie Robertson,0.969230769231
David Alford,463542.0,-968229.0,1,The Second Chance**,1200000.0,David Alford,-0.8068575
James Purefoy,303563185.0,-121218407.5,2,Vanity Fair**John Carter**,273000000.0,James Purefoy,-0.444023470696
Omar Sy,1890000000.0,720000000.0,2,Jurassic World**Inferno**,225000000.0,Omar Sy,3.2
Monica Potter,267427022.0,43513511.0,4,Along Came a Spider**Head over Heels**Saw**The Last House on the Left**,90200000.0,Monica Potter,0.482411430155
Melissa George,215108947.0,21554473.5,4,Sugar & Spice**The Amityville Horror**Turistas**30 Days of Night**,86000000.0,Melissa George,0.250633412791
Loretta Devine,470190101.0,66495050.5,11,Urban Legends: Final Cut**Urban Legend**I Am Sam**Kingdom Come**Woman Thou Art Loosed**Death at a Funeral**For Colored Girls**Lottery Ticket**Jumping the Broom**Madea's Big Happy Family**Norm of the North**,168600000.0,Loretta Devine,0.394395317319
Lena Headey,1141203994.0,162601997.0,8,Gossip**The Brothers Grimm**The Cave**300**The Mortal Instruments: City of Bones**The Purge**300: Rise of an Empire**Pride and Prejudice and Zombies**,408000000.0,Lena Headey,0.398534306373
Eva Pigford,7009668.0,-2295166.0,1,Crossover**,5800000.0,Eva Pigford,-0.395718275862
Emmy Rossum,998200000.0,54100000.0,5,The Day After Tomorrow**The Phantom of the Opera**Poseidon**Dragonball Evolution**Beautiful Creatures**,445000000.0,Emmy Rossum,0.121573033708
Tim Roth,734859345.0,-17570327.5,6,Lucky Numbers**The Musketeer**Planet of the Apes**Dark Water**The Incredible Hulk**Hardcore Henry**,385000000.0,Tim Roth,-0.0456372142857
Jake T Austin,117000000.0,23500000.0,1,Hotel for Dogs**,35000000.0,Jake T Austin,0.671428571429
Andrew Prine,1544989.0,-727505.5,1,The Lords of Salem**,1500000.0,Andrew Prine,-0.485003666667
Henry Thomas,408888390.0,11244195.0,5,All the Pretty Horses**Gangs of New York**The Last Sin Eater**Dear John**Ouija: Origin of Evil**,193200000.0,Henry Thomas,0.0581997670807
Pete Postlethwaite,993883352.0,266941676.0,5,The Lost World: Jurassic Park**̠on Flux**Dark Water**The Omen**The Town**,230000000.0,Pete Postlethwaite,1.16061598261
Mike Schatz,5500000.0,2000000.0,1,Aqua Teen Hunger Force Colon Movie Film for Theaters**,750000.0,Mike Schatz,2.66666666667
Chris Klein,954442769.0,130221384.5,10,Here on Earth**American Pie 2**American Pie**Say It Isn't So**Rollerball**We Were Soldiers**American Dreamz**The Long Weekend**Street Fighter: The Legend of Chun-Li**American Reunion**,347000000.0,Chris Klein,0.37527776513
Clifton Collins Jr,142597257.0,-38701371.5,7,Price of Glory**Tigerland**Mind Hunters**Capote**The Boondock Saints II: All Saints Day**Crank: High Voltage**Triple 9**,110000000.0,Clifton Collins Jr,-0.35183065
Edward Herrmann,155446994.0,-13276503.0,3,The Cat's Meow**Double Take**Intolerable Cruelty**,91000000.0,Edward Herrmann,-0.145895637363
Raphael Barker,5400000.0,700000.0,1,Shortbus**,2000000.0,Raphael Barker,0.35
Lil JJ,44218737.0,-18690631.5,3,Beauty Shop**Crossover**Janky Promoters**,40800000.0,Lil JJ,-0.458103713235
Whoopi Goldberg,739892986.0,51446493.0,7,Kingdom Come**Monkeybone**Rat Race**Racing Stripes**For Colored Girls**A Little Bit of Heaven**Teenage Mutant Ninja Turtles**,318500000.0,Whoopi Goldberg,0.161527450549
Fred Ward,396800000.0,54400000.0,6,Road Trip**Corky Romano**Summer Catch**Abandon**Sweet Home Alabama**30 Minutes or Less**,144000000.0,Fred Ward,0.377777777778
Emily Watson,766171402.0,68285701.0,10,Gosford Park**Equilibrium**Punch-Drunk Love**Red Dragon**Miss Potter**The Water Horse: Legend of the Deep**Fireflies in the Garden**The Book Thief**Little Boy**Everest**,314800000.0,Emily Watson,0.216917728717
Kyle Stanger,52900000.0,6450000.0,1,Pooh's Heffalump Movie**,20000000.0,Kyle Stanger,0.3225
Leonard Roberts,57600000.0,8800000.0,1,Drumline**,20000000.0,Leonard Roberts,0.44
Bernardo Ruiz Juarez,120700000.0,20350000.0,1,Apocalypto**,40000000.0,Bernardo Ruiz Juarez,0.50875
Scott Baio,9400000.0,-15300000.0,1,Superbabies: Baby Geniuses 2**,20000000.0,Scott Baio,-0.765
Deborah Kara Unger,273593385.0,26796692.5,4,White Noise**Silent Hill**88 Minutes**Silent Hill: Revelation**,110000000.0,Deborah Kara Unger,0.243606295455
Bruce Davison,745144989.0,139072494.5,5,X-Men**Crazy/Beautiful**Summer Catch**X2**The Lords of Salem**,233500000.0,Bruce Davison,0.59559954818
Woody Harrelson,3948833568.0,922616784.0,20,"Anger Management**After the Sunset**She Hate Me**North Country**The Prize Winner of Defiance, Ohio**A Prairie Home Companion**A Scanner Darkly**Semi-Pro**Seven Pounds**2012**The Messenger**Zombieland**Friends with Benefits**The Hunger Games**Free Birds**The Hunger Games: Catching Fire**Now You See Me**Out of the Furnace**Triple 9**Now You See Me 2**",1051800000.0,Woody Harrelson,0.877178916144
Bailey Cave,10243159.0,5021579.5,1,Facing the Giants**,100000.0,Bailey Cave,50.215795
Paul Collins,87400000.0,39700000.0,1,Peter Pan**,4000000.0,Paul Collins,9.925
Mimi Rogers,81051749.0,16225874.5,2,"For a Good Time, Call...**The Wedding Ringer**",24300000.0,Mimi Rogers,0.667731460905
Jean Arthur,1000000.0,-345710.0,1,Mr. Deeds Goes to Town**,845710.0,Jean Arthur,-0.40878078774
Ann Guilbert,4600000.0,-700000.0,1,Please Give**,3000000.0,Ann Guilbert,-0.233333333333
Jon Bernthal,1033300000.0,176650000.0,7,World Trade Center**Grudge Match**Snitch**The Wolf of Wall Street**Fury**Me and Earl and the Dying Girl**The Accountant**,340000000.0,Jon Bernthal,0.519558823529
Michael Gambon,3878300000.0,1142350000.0,8,Gosford Park**Open Range**Harry Potter and the Prisoner of Azkaban**The Life Aquatic with Steve Zissou**Harry Potter and the Goblet of Fire**The Omen**Harry Potter and the Order of the Phoenix**Harry Potter and the Half-Blood Prince**,796800000.0,Michael Gambon,1.43367218876
Mark Feuerstein,10200000.0,-2900000.0,1,Woman on Top**,8000000.0,Mark Feuerstein,-0.3625
Noah Taylor,1000500000.0,107250000.0,4,Almost Famous**Lara Croft: Tomb Raider**Vanilla Sky**Charlie and the Chocolate Factory**,393000000.0,Noah Taylor,0.272900763359
Mike Judge,464600000.0,121300000.0,3,Spy Kids**Spy Kids 2: The Island of Lost Dreams**Spy Kids 3-D: Game Over**,111000000.0,Mike Judge,1.09279279279
Will Sasso,54800000.0,-2600000.0,1,The Three Stooges**,30000000.0,Will Sasso,-0.0866666666667
Nia Vardalos,494162392.0,175781196.0,6,"My Big Fat Greek Wedding**Connie and Carla**I Hate Valentine's Day**My Life in Ruins**For a Good Time, Call...**My Big Fat Greek Wedding 2**",71300000.0,Nia Vardalos,2.46537441795
Peter Krause,45037545.0,2518772.5,2,We Don't Live Here Anymore**Beastly**,20000000.0,Peter Krause,0.125938625
Manuel GarciaRulfo,162400000.0,-26800000.0,1,The Magnificent Seven**,108000000.0,Manuel GarciaRulfo,-0.248148148148
Bill Hader,2542034401.0,481247200.5,12,Hot Rod**Superbad**Tropic Thunder**Adventureland**Cloudy with a Chance of Meatballs**Paul**Cloudy with a Chance of Meatballs 2**The Skeleton Twins**Inside Out**Trainwreck**The Angry Birds Movie**The BFG**,789770000.0,Bill Hader,0.609351077529
Demi Moore,334492000.0,1746000.0,5,Passion of Mind**Charlie's Angels: Full Throttle**Mr. Brooks**The Joneses**Margin Call**,165500000.0,Demi Moore,0.0105498489426
Ben Mendelsohn,1624000000.0,302000000.0,6,Knowing**Killer Elite**Trespass**The Place Beyond the Pines**Exodus: Gods and Kings**Rogue One: A Star Wars Story**,510000000.0,Ben Mendelsohn,0.592156862745
Tempestt Bledsoe,107100000.0,-6450000.0,1,ParaNorman**,60000000.0,Tempestt Bledsoe,-0.1075
Jacob Latimore,7454185.0,-13772907.5,1,Black Nativity**,17500000.0,Jacob Latimore,-0.787023285714
Yuri Lowenthal,13200000.0,-8400000.0,1,The Pirates Who Don't Do Anything: A VeggieTales Movie**,15000000.0,Yuri Lowenthal,-0.56
Mitch Pileggi,68400000.0,4200000.0,1,The X-Files: I Want to Believe**,30000000.0,Mitch Pileggi,0.14
Aidan Turner,90600000.0,-14700000.0,1,The Mortal Instruments: City of Bones**,60000000.0,Aidan Turner,-0.245
Maurice LaMarche,52100000.0,-5950000.0,1,Team America: World Police**,32000000.0,Maurice LaMarche,-0.1859375
Lacey Chabert,204100000.0,28050000.0,4,Not Another Teen Movie**The Wild Thornberrys Movie**Rugrats Go Wild**Black Christmas**,74000000.0,Lacey Chabert,0.379054054054
Pedro Budu Prez,5000000.0,-17500000.0,1,Hands of Stone**,20000000.0,Pedro Budu Prez,-0.875
Katherine Waterston,14700000.0,-12650000.0,1,Inherent Vice**,20000000.0,Katherine Waterston,-0.6325
Brenda Fricker,9400000.0,-12300000.0,1,Veronica Guerin**,17000000.0,Brenda Fricker,-0.723529411765
Jamel Debbouze,1522377.0,-7238811.5,1,She Hate Me**,8000000.0,Jamel Debbouze,-0.9048514375
Wee Man,251100000.0,100550000.0,2,Jackass: The Movie**Jackass 3D**,25000000.0,Wee Man,4.022
Scott Thompson,745327.0,-127336.5,1,Another Gay Movie**,500000.0,Scott Thompson,-0.254673
Anders Holm,26100000.0,1050000.0,1,Top Five**,12000000.0,Anders Holm,0.0875
Christopher Britton,30114487.0,-9942756.5,1,Godsend**,25000000.0,Christopher Britton,-0.39771026
J P Manoux,78400000.0,19200000.0,1,Scary Movie 5**,20000000.0,J P Manoux,0.96
Lisa Fischer,5800000.0,1900000.0,1,20 Feet from Stardom**,1000000.0,Lisa Fischer,1.9
Lindsey Haun,34700000.0,6350000.0,1,Broken Bridges**,11000000.0,Lindsey Haun,0.577272727273
Seann William Scott,2271049203.0,463524601.5,14,"Dude, Where's My Car?**Road Trip**Evolution**American Wedding**Bulletproof Monk**The Rundown**The Dukes of Hazzard**Ice Age: The Meltdown**Mr. Woodcock**Role Models**Cop Out**American Reunion**Movie 43**Ice Age: Collision Course**",672000000.0,Seann William Scott,0.689768752232
Lori Heuring,5280035.0,-21359982.5,1,The In Crowd**,24000000.0,Lori Heuring,-0.889999270833
Melora Walters,98400000.0,35200000.0,2,The Butterfly Effect**Short Term 12**,14000000.0,Melora Walters,2.51428571429
Jill Scott,60095852.0,10047926.0,1,Why Did I Get Married Too?**,20000000.0,Jill Scott,0.5023963
Michaela Watkins,80600000.0,4300000.0,2,The Back-up Plan**In a World...**,36000000.0,Michaela Watkins,0.119444444444
Enrico Colantoni,3519891.0,-24240054.5,3,The First $20 Million Is Always the Hardest**The Chaperone**Veronica Mars**,26000000.0,Enrico Colantoni,-0.932309788462
DMX,227448157.0,30724078.5,3,Romeo Must Die**Exit Wounds**Cradle 2 the Grave**,83000000.0,DMX,0.370169620482
